Sent #	Word	Tag
Sent1	Abraço	B-ORG
Sent1	Página	O
Sent1	Principal	O
Sent1	ASSOCIAÇÃO	B-ORG
Sent1	DE	I-ORG
Sent1	APOIO	I-ORG
Sent1	A	I-ORG
Sent1	PESSOAS	I-ORG
Sent1	COM	I-ORG
Sent1	VIH	I-ORG
Sent1	/	I-ORG
Sent1	SIDA	I-ORG
Sent1	A	O
Sent1	ABRAÇO	B-ORG
Sent1	é	O
Sent1	uma	O
Sent1	Instituição	B-ORG
Sent1	Particular	I-ORG
Sent1	de	I-ORG
Sent1	Solidariedade	I-ORG
Sent1	Social	I-ORG
Sent1	.	O
Sent2	Organização	O
Sent2	não	O
Sent2	governamental	O
Sent2	sem	O
Sent2	fins	O
Sent2	lucrativos	O
Sent2	de	O
Sent2	prestação	O
Sent2	de	O
Sent2	serviços	O
Sent2	na	O
Sent2	área	O
Sent2	da	O
Sent2	SIDA	B-ABS
Sent2	.	O
Sent3	Foi	O
Sent3	constituída	O
Sent3	por	O
Sent3	escritura	O
Sent3	pública	O
Sent3	em	O
Sent3	Junho	B-TEM
Sent3	de	I-TEM
Sent3	1992	I-TEM
Sent3	,	O
Sent3	formalizando	O
Sent3	e	O
Sent3	dando	O
Sent3	continuidade	O
Sent3	ao	O
Sent3	trabalho	O
Sent3	de	O
Sent3	um	O
Sent3	pequeno	O
Sent3	número	O
Sent3	de	O
Sent3	voluntários	O
Sent3	que	O
Sent3	,	O
Sent3	desde	O
Sent3	Dezembro	B-TEM
Sent3	de	I-TEM
Sent3	1991	I-TEM
Sent3	,	O
Sent3	prestava	O
Sent3	apoio	O
Sent3	psicológico	O
Sent3	,	O
Sent3	social	O
Sent3	e	O
Sent3	material	O
Sent3	a	O
Sent3	seropositivos	O
Sent3	internados	O
Sent3	na	O
Sent3	Unidade	B-ORG
Sent3	de	I-ORG
Sent3	Doenças	I-ORG
Sent3	Infecciosas	I-ORG
Sent3	e	I-ORG
Sent3	Parasitárias	I-ORG
Sent3	do	I-ORG
Sent3	Hospital	I-ORG
Sent3	Egas	I-ORG
Sent3	Moniz	I-ORG
Sent3	,	O
Sent3	e	O
Sent3	tentava	O
Sent3	melhorar	O
Sent3	as	O
Sent3	condições	O
Sent3	hospitalares	O
Sent3	.	O
Sent4	Os	O
Sent4	objectivos	O
Sent4	da	O
Sent4	Associação	B-ORG
Sent4	são	O
Sent4	:	O
Sent4	Apoio	O
Sent4	a	O
Sent4	pessoas	O
Sent4	afectadas	O
Sent4	pelo	O
Sent4	VIH	B-ABS
Sent4	/	I-ABS
Sent4	SIDA	I-ABS
Sent4	;	O
Sent5	Apoio	O
Sent5	,	O
Sent5	treino	O
Sent5	e	O
Sent5	formação	O
Sent5	de	O
Sent5	trabalhadores	O
Sent5	e	O
Sent5	técnicos	O
Sent5	de	O
Sent5	saúde	O
Sent5	envolvidos	O
Sent5	com	O
Sent5	o	O
Sent5	VIH	B-ABS
Sent5	;	O
Sent6	Prevenção	O
Sent6	da	O
Sent6	infecção	O
Sent6	,	O
Sent6	dirigida	O
Sent6	à	O
Sent6	população	O
Sent6	em	O
Sent6	geral	O
Sent6	e	O
Sent6	,	O
Sent6	especialmente	O
Sent6	,	O
Sent6	aos	O
Sent6	jovens	O
Sent6	,	O
Sent6	utilizadores	O
Sent6	de	O
Sent6	droga	O
Sent6	,	O
Sent6	trabalhadores	O
Sent6	do	O
Sent6	sexo	O
Sent6	,	O
Sent6	mulheres	O
Sent6	,	O
Sent6	gays	O
Sent6	,	O
Sent6	trangenders	O
Sent6	e	O
Sent6	reclusos	O
Sent6	;	O
Sent7	Luta	O
Sent7	contra	O
Sent7	a	O
Sent7	discriminação	O
Sent7	e	O
Sent7	defesa	O
Sent7	dos	O
Sent7	direitos	O
Sent7	das	O
Sent7	pessoas	O
Sent7	infectadas	O
Sent7	.	O
Sent8	A	O
Sent8	Associação	B-ORG
Sent8	dispõe	O
Sent8	de	O
Sent8	uma	O
Sent8	estrutura	O
Sent8	de	O
Sent8	cerca	O
Sent8	de	O
Sent8	vinte	O
Sent8	assalariados	O
Sent8	sendo	O
Sent8	portanto	O
Sent8	a	O
Sent8	sua	O
Sent8	actividade	O
Sent8	desenvolvida	O
Sent8	essencialmente	O
Sent8	através	O
Sent8	de	O
Sent8	voluntários	O
Sent8	.	O
Sent9	A	O
Sent9	sua	O
Sent9	acção	O
Sent9	tem	O
Sent9	âmbito	O
Sent9	nacional	O
Sent9	,	O
Sent9	dispondo	O
Sent9	de	O
Sent9	três	O
Sent9	centros	O
Sent9	de	O
Sent9	trabalho	O
Sent9	na	O
Sent9	área	O
Sent9	da	O
Sent9	grande	O
Sent9	Lisboa	B-LOC
Sent9	,	O
Sent9	um	O
Sent9	no	O
Sent9	Porto	B-LOC
Sent9	,	O
Sent9	aberto	O
Sent9	em	O
Sent9	Dezembro	B-TEM
Sent9	de	I-TEM
Sent9	1994	I-TEM
Sent9	,	O
Sent9	e	O
Sent9	um	O
Sent9	no	O
Sent9	Funchal	B-LOC
Sent9	,	O
Sent9	aberto	O
Sent9	em	O
Sent9	Dezembro	B-TEM
Sent9	de	I-TEM
Sent9	1995	I-TEM
Sent9	.	O
Sent10	A	O
Sent10	Associação	B-ORG
Sent10	está	O
Sent10	organizada	O
Sent10	por	O
Sent10	núcleos	O
Sent10	e	O
