Sent #	Word	Tag
Sent1	W	B-PES
Sent1	.	I-PES
Sent1	JAMES	I-PES
Sent1	Willian	B-PES
Sent1	James	I-PES
Sent1	Willian	B-PES
Sent1	James	I-PES
Sent1	,	O
Sent1	filósofo	O
Sent1	e	O
Sent1	psicólogo	O
Sent1	.	O
Sent2	Foi	O
Sent2	o	O
Sent2	mais	O
Sent2	influente	O
Sent2	dos	O
Sent2	pensadores	O
Sent2	dos	O
Sent2	EUA	B-LOC
Sent2	,	O
Sent2	criador	O
Sent2	do	O
Sent2	pragmatismo	O
Sent2	.	O
Sent3	Nasceu	O
Sent3	e	O
Sent3	,	O
Sent3	Nova	B-LOC
Sent3	Iorque	I-LOC
Sent3	,	O
Sent3	a	O
Sent3	11	B-TEM
Sent3	de	I-TEM
Sent3	Janeiro	I-TEM
Sent3	de	I-TEM
Sent3	1842	I-TEM
Sent3	.	O
Sent4	O	O
Sent4	seu	O
Sent4	pai	O
Sent4	,	O
Sent4	Henru	B-PES
Sent4	James	I-PES
Sent4	,	O
Sent4	era	O
Sent4	um	O
Sent4	teólogo	O
Sent4	seguidor	O
Sent4	de	O
Sent4	Emanuel	B-PES
Sent4	Swedenborg	I-PES
Sent4	.	O
Sent5	Um	O
Sent5	dos	O
Sent5	seus	O
Sent5	irmãos	O
Sent5	foi	O
Sent5	o	O
Sent5	conhecido	O
Sent5	novelista	O
Sent5	Henry	B-PES
Sent5	James	I-PES
Sent5	.	O
Sent6	Concluiu	O
Sent6	os	O
Sent6	seus	O
Sent6	estudos	O
Sent6	de	O
Sent6	medicina	O
Sent6	,	O
Sent6	em	O
Sent6	1870	B-TEM
Sent6	,	O
Sent6	na	O
Sent6	Universidade	B-ORG
Sent6	de	I-ORG
Sent6	Harvard	I-ORG
Sent6	,	O
Sent6	onde	O
Sent6	iniciou	O
Sent6	a	O
Sent6	sua	O
Sent6	carreira	O
Sent6	como	O
Sent6	professor	O
Sent6	de	O
Sent6	fisiologia	O
Sent6	em	O
Sent6	1872	B-TEM
Sent6	.	O
Sent7	A	O
Sent7	partir	O
Sent7	de	O
Sent7	1880	B-TEM
Sent7	ensinou	O
Sent7	psicologia	O
Sent7	e	O
Sent7	filosofia	O
Sent7	em	O
Sent7	Harvard	B-ORG
Sent7	,	O
Sent7	universidade	O
Sent7	que	O
Sent7	abandonou	O
Sent7	em	O
Sent7	1907	B-TEM
Sent7	,	O
Sent7	proferindo	O
Sent7	conferências	O
Sent7	nas	O
Sent7	universidades	O
Sent7	de	O
Sent7	Columbia	B-ORG
Sent7	e	O
Sent7	Oxford	B-ORG
Sent7	.	O
Sent8	Morreu	O
Sent8	em	O
Sent8	Chocorua	B-LOC
Sent8	,	O
Sent8	New	B-LOC
Sent8	Hampshire	I-LOC
Sent8	,	O
Sent8	a	O
Sent8	26	B-TEM
Sent8	de	I-TEM
Sent8	Agosto	I-TEM
Sent8	de	I-TEM
Sent8	1910	I-TEM
Sent8	.	O
Sent9	Obras	O
Sent9	Princípios	B-OBR
Sent9	de	I-OBR
Sent9	Psicologia	I-OBR
Sent9	(	O
Sent9	1890	B-TEM
Sent9	)	O
Sent9	,	O
Sent9	uma	O
Sent9	obra	O
Sent9	monumental	O
Sent9	que	O
Sent9	o	O
Sent9	projectou	O
Sent9	na	O
Sent9	comunidade	O
Sent9	científica	O
Sent9	e	O
Sent9	filosófica	O
Sent9	do	O
Sent9	tempo	O
Sent9	.	O
Sent10	A	B-OBR
Sent10	Vontade	I-OBR
Sent10	de	I-OBR
Sent10	Crer	I-OBR
Sent10	e	O
Sent10	Outros	B-OBR
Sent10	Ensaios	I-OBR
Sent10	Sobre	I-OBR
Sent10	Filosofia	I-OBR
Sent10	Popular	I-OBR
Sent10	(	O
Sent10	1897	B-TEM
Sent10	)	O
Sent10	,	O
Sent10	A	B-OBR
Sent10	Imortalidade	I-OBR
Sent10	Humana	I-OBR
Sent10	(	O
Sent10	1898	B-TEM
Sent10	)	O
Sent10	,	O
Sent10	Diversidade	B-OBR
Sent10	da	I-OBR
Sent10	Experiência	I-OBR
Sent10	Religiosa	I-OBR
Sent10	(	O
Sent10	1902	B-TEM
Sent10	)	O
Sent10	.	O
Sent11	Pragmatismo	B-OBR
Sent11	:	I-OBR
Sent11	um	I-OBR
Sent11	nome	I-OBR
Sent11	novo	I-OBR
Sent11	para	I-OBR
Sent11	velhas	I-OBR
Sent11	formas	I-OBR
Sent11	de	I-OBR
Sent11	pensar	I-OBR
Sent11	(	O
Sent11	1907	B-TEM
Sent11	)	O
Sent11	.	O
Sent12	Esta	O
Sent12	obra	O
Sent12	resume	O
Sent12	as	O
Sent12	contribuições	O
Sent12	de	O
Sent12	Willian	B-PES
Sent12	James	I-PES
Sent12	para	O
Sent12	o	O
Sent12	pragmatismo	O
Sent12	,	O
Sent12	termo	O
Sent12	empregue	O
Sent12	pela	O
Sent12	primeira	O
Sent12	vez	O
Sent12	por	O
Sent12	Charles	B-PES
Sent12	Peirce	I-PES
Sent12	.	O
Sent13	Principais	O
Sent13	Domínios	O
Sent13	de	O
Sent13	Investigação	O
Sent13	Willian	B-PES
Sent13	James	I-PES
Sent13	aplica	O
Sent13	à	O
Sent13	psicologia	O
Sent13	o	O
Sent13	princípio	O
Sent13	do	O
Sent13	funcionalismo	O
Sent13	,	O
Sent13	integrando	O
Sent13	-	O
Sent13	a	O
Sent13	no	O
Sent13	conjunto	O
Sent13	das	O
Sent13	ciências	O
Sent13	experimentais	O
Sent13	.	O
Sent14	Durante	O
Sent14	décadas	O
Sent14	aplicou	O
Sent14	os	O
Sent14	seus	O
Sent14	métodos	O
Sent14	empíricos	O
Sent14	à	O
Sent14	investigação	O
Sent14	de	O
Sent14	temas	O
Sent14	religiosos	O
Sent14	e	O
Sent14	filosóficos	O
Sent14	.	O
Sent15	Explorou	O
Sent15	a	O
Sent15	questão	O
Sent15	da	O
Sent15	existência	O
Sent15	de	O
Sent15	Deus	B-PES
Sent15	,	O
Sent15	a	O
Sent15	imortalidade	O
Sent15	da	O
Sent15	alma	O
Sent15	,	O
Sent15	o	O
Sent15	livre	O
Sent15	arbítrio	O
Sent15	e	O
Sent15	os	O
Sent15	valores	O
Sent15	éticos	O
Sent15	,	O
Sent15	como	O
Sent15	fonte	O
Sent15	da	O
Sent15	experiência	O
Sent15	religiosa	O
Sent15	e	O
Sent15	moral	O
Sent15	.	O
Sent16	O	O
Sent16	método	O
Sent16	pragmático	O
Sent16	,	O
Sent16	desenvolvido	O
Sent16	a	O
Sent16	partir	O
Sent16	da	O
Sent16	análise	O
Sent16	do	O
Sent16	fundamento	O
Sent16	lógico	O
Sent16	das	O
Sent16	ciências	O
Sent16	,	O
Sent16	converte	O
Sent16	-	O
Sent16	se	O
Sent16	na	O
Sent16	base	O
Sent16	da	O
Sent16	avaliação	O
Sent16	de	O
Sent16	qualquer	O
Sent16	experiência	O
Sent16	.	O
Sent17	O	O
Sent17	significado	O
Sent17	das	O
Sent17	ideias	O
Sent17	só	O
Sent17	pode	O
Sent17	ser	O
Sent17	analisado	O
Sent17	a	O
Sent17	partir	O
Sent17	das	O
Sent17	suas	O
Sent17	consequências	O
Sent17	.	O
Sent18	Se	O
Sent18	não	O
Sent18	produzem	O
Sent18	efeitos	O
Sent18	as	O
Sent18	ideias	O
Sent18	não	O
Sent18	têm	O
Sent18	sentido	O
Sent18	As	O
Sent18	ideias	O
Sent18	metafisicas	O
Sent18	são	O
Sent18	desprovidas	O
Sent18	de	O
Sent18	sentido	O
Sent18	porque	O
Sent18	não	O
Sent18	podem	O
Sent18	ser	O
Sent18	comprovadas	O
Sent18	.	O
Sent19	As	O
Sent19	teorias	O
Sent19	com	O
Sent19	significado	O
Sent19	,	O
Sent19	segundo	O
Sent19	Willian	B-PES
Sent19	James	I-PES
Sent19	,	O
Sent19	são	O
Sent19	aquelas	O
Sent19	que	O
Sent19	permitem	O
Sent19	resolver	O
Sent19	problemas	O
Sent19	que	O
Sent19	decorrem	O
Sent19	da	O
Sent19	experiência	O
Sent19	.	O
Sent20	Um	O
Sent20	pouco	O
Sent20	de	O
Sent20	HISTÓRIA	B-ABS
Sent20	No	O
Sent20	passado	O
Sent20	dia	O
Sent20	7	B-TEM
Sent20	de	I-TEM
Sent20	Dezembro	I-TEM
Sent20	,	O
Sent20	os	O
Sent20	alunos	O
Sent20	do	O
Sent20	1º	B-PES
Sent20	Ciclo	I-PES
Sent20	do	I-PES
Sent20	Ensino	I-PES
Sent20	Básico	I-PES
Sent20	da	I-PES
Sent20	Escola	I-PES
Sent20	de	I-PES
Sent20	Codeçoso	I-PES
Sent20	,	O
Sent20	sob	O
Sent20	a	O
Sent20	orientação	O
Sent20	da	O
Sent20	professora	O
Sent20	,	O
Sent20	no	O
Sent20	âmbito	O
Sent20	do	O
Sent20	concurso	O
Sent20	promovido	O
Sent20	pela	O
Sent20	Biblioteca	B-ORG
Sent20	Municipal	I-ORG
Sent20	de	I-ORG
Sent20	Montalegre	I-ORG
Sent20	,	O
Sent20	decidiram	O
Sent20	entrevistar	O
Sent20	um	O
Sent20	par	O
Sent20	de	O
Sent20	idosos	O
Sent20	do	O
Sent20	lugar	O
Sent20	de	O
Sent20	Codeçoso	B-LOC
Sent20	,	O
Sent20	fregueisa	O
Sent20	da	O
Sent20	Venda	B-LOC
Sent20	Nova	I-LOC
Sent20	,	O
Sent20	sobre	O
Sent20	o	O
Sent20	Natal	B-TEM
Sent20	dos	O
Sent20	seus	O
Sent20	tempos	O
Sent20	de	O
Sent20	juventude	O
Sent20	,	O
Sent20	assim	O
Sent20	como	O
Sent20	algumas	O
Sent20	recordações	O
Sent20	que	O
Sent20	lhes	O
Sent20	deixaram	O
Sent20	saudade	O
Sent20	.	O
Sent21	Trata	O
Sent21	-	O
Sent21	se	O
Sent21	da	O
Sent21	senhora	O
Sent21	Teresa	B-PES
Sent21	Gonçalves	I-PES
Sent21	Bastos	I-PES
Sent21	,	O
Sent21	de	O
Sent21	88	B-VAL
Sent21	anos	I-VAL
Sent21	e	O
Sent21	do	O
Sent21	senhor	O
Sent21	António	B-PES
Sent21	Gonçalves	I-PES
Sent21	Bastos	I-PES
Sent21	de	O
Sent21	90	B-VAL
Sent21	anos	I-VAL
Sent21	.	O
Sent22	Mónica	B-PES
Sent22	:	O
Sent22	-	O
Sent22	Será	O
Sent22	que	O
Sent22	podiam	O
Sent22	conversar	O
Sent22	um	O
Sent22	pouco	O
Sent22	connosco	O
Sent22	?	O
Sent23	D	B-PES
Sent23	.	I-PES
Sent23	Teresa	I-PES
Sent23	:	O
Sent23	-	O
Sent23	""""	O
Sent23	Antão	O
Sent23	""""	O
Sent23	não	O
Sent23	haveríamos	O
Sent23	de	O
Sent23	querer	O
Sent23	conversar	O
Sent23	com	O
Sent23	estes	O
Sent23	três	O
Sent23	meninos	O
Sent23	tão	O
Sent23	azadinhos	O
Sent23	e	O
Sent23	com	O
Sent23	a	O
Sent23	senhora	O
Sent23	professora	O
Sent23	.	O
Sent24	Mónica	B-PES
Sent24	:	O
Sent24	-	O
Sent24	Lembra	O
Sent24	-	O
Sent24	se	O
Sent24	como	O
Sent24	festejava	O
Sent24	o	O
Sent24	Natal	B-TEM
Sent24	antigamente	O
Sent24	?	O
Sent25	D	B-PES
Sent25	.	I-PES
Sent25	Teresa	I-PES
Sent25	:	O
Sent25	-	O
Sent25	Se	O
Sent25	lembro	O
Sent25	!	O
Sent26	Até	O
Sent26	me	O
Sent26	dão	O
Sent26	saudades	O
Sent26	!	O
Sent27	Mónica	B-PES
Sent27	:	O
Sent27	-	O
Sent27	O	O
Sent27	que	O
Sent27	costumavam	O
Sent27	comer	O
Sent27	na	O
Sent27	noite	O
Sent27	de	O
Sent27	Consoada	B-TEM
Sent27	?	O
Sent28	D	B-PES
Sent28	.	I-PES
Sent28	Teresa	I-PES
Sent28	:	O
Sent28	-	O
Sent28	Comíamos	O
