Doc #	Word	Tag
Doc1	Abraço	B-ORG
Doc1	Página	O
Doc1	Principal	O
Doc1	ASSOCIAÇÃO	B-ORG
Doc1	DE	I-ORG
Doc1	APOIO	I-ORG
Doc1	A	I-ORG
Doc1	PESSOAS	I-ORG
Doc1	COM	I-ORG
Doc1	VIH	I-ORG
Doc1	/	I-ORG
Doc1	SIDA	I-ORG
Doc1	A	O
Doc1	ABRAÇO	B-ORG
Doc1	é	O
Doc1	uma	O
Doc1	Instituição	B-ORG
Doc1	Particular	I-ORG
Doc1	de	I-ORG
Doc1	Solidariedade	I-ORG
Doc1	Social	I-ORG
Doc1	.	O
Doc1	Organização	O
Doc1	não	O
Doc1	governamental	O
Doc1	sem	O
Doc1	fins	O
Doc1	lucrativos	O
Doc1	de	O
Doc1	prestação	O
Doc1	de	O
Doc1	serviços	O
Doc1	na	O
Doc1	área	O
Doc1	da	O
Doc1	SIDA	B-ABS
Doc1	.	O
Doc1	Foi	O
Doc1	constituída	O
Doc1	por	O
Doc1	escritura	O
Doc1	pública	O
Doc1	em	O
Doc1	Junho	B-TEM
Doc1	de	I-TEM
Doc1	1992	I-TEM
Doc1	,	O
Doc1	formalizando	O
Doc1	e	O
Doc1	dando	O
Doc1	continuidade	O
Doc1	ao	O
Doc1	trabalho	O
Doc1	de	O
Doc1	um	O
Doc1	pequeno	O
Doc1	número	O
Doc1	de	O
Doc1	voluntários	O
Doc1	que	O
Doc1	,	O
Doc1	desde	O
Doc1	Dezembro	B-TEM
Doc1	de	I-TEM
Doc1	1991	I-TEM
Doc1	,	O
Doc1	prestava	O
Doc1	apoio	O
Doc1	psicológico	O
Doc1	,	O
Doc1	social	O
Doc1	e	O
Doc1	material	O
Doc1	a	O
Doc1	seropositivos	O
Doc1	internados	O
Doc1	na	O
Doc1	Unidade	B-ORG
Doc1	de	I-ORG
Doc1	Doenças	I-ORG
Doc1	Infecciosas	I-ORG
Doc1	e	I-ORG
Doc1	Parasitárias	I-ORG
Doc1	do	I-ORG
Doc1	Hospital	I-ORG
Doc1	Egas	I-ORG
Doc1	Moniz	I-ORG
Doc1	,	O
Doc1	e	O
Doc1	tentava	O
Doc1	melhorar	O
Doc1	as	O
Doc1	condições	O
Doc1	hospitalares	O
Doc1	.	O
Doc1	Os	O
Doc1	objectivos	O
Doc1	da	O
Doc1	Associação	B-ORG
Doc1	são	O
Doc1	:	O
Doc1	Apoio	O
Doc1	a	O
Doc1	pessoas	O
Doc1	afectadas	O
Doc1	pelo	O
Doc1	VIH	B-ABS
Doc1	/	I-ABS
Doc1	SIDA	I-ABS
Doc1	;	O
Doc1	Apoio	O
Doc1	,	O
Doc1	treino	O
Doc1	e	O
Doc1	formação	O
Doc1	de	O
Doc1	trabalhadores	O
Doc1	e	O
Doc1	técnicos	O
Doc1	de	O
Doc1	saúde	O
Doc1	envolvidos	O
Doc1	com	O
Doc1	o	O
Doc1	VIH	B-ABS
Doc1	;	O
Doc1	Prevenção	O
